Team Name,blomgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Beevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported By,Victor Peynado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,20/Jul/2026 11:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Sprints Contains 0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Id,Item Name,Description,Created On,Sprint,Created by,Tags,Completed On,Assignee,Status,Epic,Item Type,Priority,Start Date,End Date,Start After,Duration,Estimation Points,Release,Total Workhours,Work hours per owner,Work hours type,Parent Id,Sprint Type,Sprint Start Date,Sprint End Date,Comments,Created Time,Last Modified,Blocked by,Blocked On
BVA-I29,Naira Wallet Intro + Email Entry + Send Email Code Integration,"DescriptionFirst screenof the banking path for Nigeria-resident users. Covers the email-submissionhalf of the combined screen; BVN submission is a separate step gatedbehind email verificationAPI IntegrationPOST /api/v1/kyc/email Acceptance Criteria● Explainer copy + informational callout● On Continue, submit the email field via POST/kyc/email first; do not allow BVN submission until email verification succeeds● ""Use chat only instead"" link callsPOST /onboarding/path again with { path: ""chat_only"" } to downgradefrom chat_banking, then navigates the user into the chat-only path screens,starting at Basic Info● Loading/disabled state on Continue while therequest is in flight",06/Jul/2026 05:07 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:07 PM,20/Jul/2026 05:40 PM,,
BVA-I30,Email OTP Verification Screen + Verify Email Integration,"DescriptionConfirms theemail code sent before BVN lookup can proceed.API IntegrationPOST /api/v1/kyc/email/verifyRequest:{ code }Success:200: email verified, returns userErrors:400 otp_invalid / otp_expired / otp_too_many_attempts Acceptance Criteria● Reuse the shared OTP-entry component, parameterized for the email-verification context● On success, proceed to BVN entry withinthe same combined-screen flow● Standard OTP error handling",06/Jul/2026 05:09 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:09 PM,20/Jul/2026 05:40 PM,,
BVA-I31,BVN Entry Screen + BVN Lookup Integration,"DescriptionCollects the11-digit BVN and confirms it exists, returning the availableownership-verification methods.API IntegrationPOST /api/v1/kyc/bvnRequest:{ bvn: 11-digit string }Success:200: BVN found, returns available methods (face / record; phone not yetsupported)Errors:400 bvn_not_found Acceptance Criteria● 11 individual digit boxes, numeric keyboardonly; Continue disabled until all 11 are entered● Only reachable once email verification has succeeded● On bvn_not_found, show an inline error and allowre-entry without losing the verified-email state",06/Jul/2026 05:12 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:12 PM,20/Jul/2026 05:40 PM,,
BVA-I32,BVN Verifying State (Loading/Progress Modal),"DescriptionNon-dismissible""Verifying Your Details"" modal with a spinner, shown while theownership-verification call (POST /kyc/bvn/verify-ownership) is in flight,after the selfie has been captured.Acceptance Criteria● The BVN lookup call (POST /kyc/bvn) isa quick inline call from the BVN entry screen itself and does NOT trigger thismodal, any loading state for that call is a lightweight inlinespinner/disabled-button state ● This modal is shown specifically while POST/kyc/bvn/verify-ownership is in flight, i.e. after the user has capturedtheir selfie in the face-verification step● On success, auto-dismiss and navigate to KYCProfile or Wallet Ready depending on whether profile fields werealready populated● On failure, dismiss the modal and show aninline error with retry on the take selfie screen",06/Jul/2026 05:21 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:21 PM,20/Jul/2026 05:40 PM,,
BVA-I33,KYC Profile Auto-Population from BVN Record + Submit KYC Profile Integration,"Descriptiongender, address, and the other KycProfileDto fields are associated records returned by the externalBVN/ownership-verification provider as part of the verify bvn ownership verification response. The app readsthese fields off that response and submits them via POST /kyc/profile, without prompting the user to type them in.API IntegrationPOST /api/v1/kyc/profileRequest:{ email, gender: male|female, addressLine1, addressLine2?, city, state,postalCode, country }, the values sourced from the BVN ownership-verificationresponse Acceptance Criteria● After POST /kyc/bvn/verify-ownership succeeds, map the relevant fields from that response into the KycProfileDtoshape and call POST /kyc/profile automatically, ● Pre-fill/reuse the email already captured andverified for the email field in this call● Country defaults to NG on this path● the user sees the Verifying modal and then Wallet Ready, with no intermediate form",06/Jul/2026 05:25 PM,0701,Fortune Okwu,,,David Samuel,In progress,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:25 PM,20/Jul/2026 05:40 PM,,
BVA-I34,Face Verification Instructions Screen,"DescriptionInstructionalscreen preceding the camera capture step, covering lighting, glasses/hats, andframing guidance.Acceptance Criteria● Static instructional content: lighting, removeglasses/hats, keep face centered● ""Continue""/""Start"" CTAlaunches the camera capture flow● Camera permission requested gracefully if notalready granted, with an in-app rationale shown before the OS permission dialog",06/Jul/2026 05:26 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:26 PM,20/Jul/2026 05:40 PM,,
BVA-I35,Take Selfie Capture Screen + Verify BVN Ownership Integration,"DescriptionIn-app cameracapture with a face-guide overlay; submits the selfie alongside the BVN forownership verification.API IntegrationPOST /api/v1/kyc/bvn/verify-ownershipRequest:{ bvn, method: ""face"", selfieImage: base64/data-URL }Acceptance Criteria● In-app camera view with an oval face-guideoverlay matching the Figma framing● ""Take Selfie"" captures,compresses/encodes the image (base64 or data-URL), and submits it with thepreviously-entered bvn and method: ""face""● Show the Verifying modal while therequest is in flight● On face_verification_failed, return to thisscreen with a retry affordance and clear guidance (e.g. ""We couldn'tverify your face, try again in better lighting"")● On method_unavailable, handle defensively witha fallback message directing the user to contact support● On success, the ownership-verificationresponse is the source of the KYC profile data auto-submitted, nouser-facing step happens between this screen and Wallet Ready beyond theVerifying modal",06/Jul/2026 05:29 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:29 PM,20/Jul/2026 05:40 PM,,
BVA-I36,Wallet Ready / Confirmation Screen + Wallet Details Integration,"DescriptionFinalconfirmation screen of the banking path, displays the new NGN wallet's accountdetails, called after the KYC profile auto-submission completes.API IntegrationGET /api/v1/wallets/payin-detailsSuccess:200 — { account_number, account_name, bank_name } for the newly created NGNwallet Acceptance Criteria● Call GET /api/v1/wallets/payin-details afterKYC profile submission succeeds, and display the returned accountnumber, account name, and bank name● replace account placeholder text based on response● Copy icon next to the account number copies toclipboard with a confirmation toast● Share button opens the native share sheet withthe account details as text● Continue routes to the Chat screen: banking onboarding is complete",06/Jul/2026 05:31 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Banking Path (Nigeria / BVN / Anchor),Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:31 PM,20/Jul/2026 05:40 PM,,
BVA-I37,Post-Onboarding Routing to Chat Screen,"DescriptionEnsures everyvalid completion path, chat-only profile submit or banking wallet-ready, converges on the same Chat screen entry point, with the onboarding navigationstack fully cleared.Acceptance Criteria● Chat-only completion (Basic Info Screen(Chat-Only Path) + Submit Profile Integration success) routes tothe Chat screen● Banking completion (Wallet Ready / ConfirmationScreen + Wallet Details Integration Continue) routes to theChat screen● Onboarding navigation stack is cleared onentry, no back-swipe/back-button return into onboarding● Local onboarding-state cache is cleared/markedcomplete so app relaunch skips directly to the Chat screen without anunnecessary onboarding/state call (still verify session validity via GET/auth/me)",06/Jul/2026 05:34 PM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,Onboarding Completion & Chat Entry,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,06/Jul/2026 05:34 PM,20/Jul/2026 05:40 PM,,
BVA-I38,Send and Receive Messages in Real Time,"Asa user, I want to send and receive messages instantly in a conversation, sothat I can have real-time conversations with the people I chat with. This is thefoundation everything else in the chat engine sits on top of calling, translation,and file sharing are all extensions of a conversation that has to already workreliably in real time.Acceptance Criteria● A message sent by one user appears in theother person's conversation, without either person needingto refresh or reopen the app● Message delivery status is accurate andupdates correctly (sent ➡ delivered ➡ read), matching the states alreadydesigned for the Chat screen● Reopening a conversation shows the fullmessage history in the correct order● Messaging remains reliable on typical mobiledata, not just Wi-Fi",09/Jul/2026 08:36 PM,0701,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,09/Jul/2026 08:36 PM,14/Jul/2026 09:49 AM,,
BVA-I47,Real-Time Message Delivery & Storage,"Build the backend service that deliversmessages between users in real time, stores message history, and tracks eachmessage's status as it moves from sent to delivered to read.",14/Jul/2026 09:11 AM,0701,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I38,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:11 AM,20/Jul/2026 05:40 PM,,
BVA-I48,Chat Thread UI & Message Display,"Build the conversation screen that displays sentand received messages in order, includes the message input bar, and reflectseach message's delivery/read status as it updates in real time",14/Jul/2026 09:12 AM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I38,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:12 AM,20/Jul/2026 05:40 PM,,
BVA-I39,Live Typing Preview,"Asa user, I want to see what the other person is typing as they type it, so thatour conversation feels immediate and natural, rather than waiting on a generic""typing…"" indicator.This is adeliberate differentiator from standard chat apps, it's meant to make conversationson Beevia feel more like being on a call together than exchanging texts.Acceptance Criteria● While the other person is composing a message,I see their text appear and update live in the conversation, in real time, asthey type● If they edit or delete what they've typedbefore sending, my view updates to match● If they stop typing or close the app withoutsending, the live preview clears● The experience feels responsive, withoutnoticeable lag between their keystrokes and what I see",09/Jul/2026 08:42 PM,0701,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,09/Jul/2026 08:42 PM,14/Jul/2026 09:49 AM,,
BVA-I49,Real-Time Draft Text Streaming,"Build the real-time channel that streams auser's in-progress draft text to the other participant as they type, updatinglive and clearing appropriately when they stop typing or send the message.",14/Jul/2026 09:13 AM,0701,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I39,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:13 AM,20/Jul/2026 05:40 PM,,
BVA-I50,Live Typing Display in Chat Thread,"Render the other participant's live draft textwithin the conversation thread as it streams in, updating in real time andclearing it once they stop typing or send.",14/Jul/2026 09:13 AM,0701,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I39,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:13 AM,20/Jul/2026 05:40 PM,,
BVA-I40,Audio Calling,"Asa user, I want to make and receive voice calls with someone I'm chatting with,so that I can talk to them directly without leaving the app.Acceptance Criteria● A user can start a voice call with any contactfrom within their conversation with that person● The other person gets a clear incoming-callnotification and can accept or decline● Call quality holds up on typical mobile data,not just Wi-Fi● Either person can end the call from their sideat any time● A record of the call (missed or answered, andduration) shows up in the conversation history afterward",09/Jul/2026 08:47 PM,0701,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,09/Jul/2026 08:47 PM,14/Jul/2026 09:49 AM,,
BVA-I51,Audio Call Infrastructure & Signaling,"Set up the backend calling infrastructure, includingcall signaling, session management, and logging call records (missed, answered,duration) to the conversation history. LiveKit to be used as the supporting provider",14/Jul/2026 09:14 AM,0701,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I40,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:14 AM,20/Jul/2026 05:40 PM,,
BVA-I52,Audio Call UI,"Build the audio call experience, including theoutgoing call screen, the incoming call/ringing screen with accept and declineactions, in-call controls, and ending the call.",14/Jul/2026 09:15 AM,0701,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I40,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:15 AM,20/Jul/2026 05:40 PM,,
BVA-I41,Video Calling,"Asa user, I want to make and receive video calls with someone I'm chatting with,so that I can have face-to-face conversations through the app.Acceptance Criteria● Everything in the Audio Calling story applies here as well● A user can turn their camera on/off during acall● A user can switch between front and backcamera during a call● Video quality holds up reasonably well ontypical mobile data",09/Jul/2026 08:50 PM,0701,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,09/Jul/2026 08:50 PM,14/Jul/2026 09:49 AM,,
BVA-I53,Video Call Infrastructure,Extend the calling infrastructure built foraudio calls (CE3-BE) to support video sessions.,14/Jul/2026 09:18 AM,0701,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I41,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:18 AM,20/Jul/2026 05:40 PM,,
BVA-I54,Video Call UI,"Build the video call experience, includingcamera preview, camera on/off toggle, switching between front and back camera,and the video call screen layout.",14/Jul/2026 09:19 AM,0701,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I41,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:19 AM,20/Jul/2026 05:40 PM,,
BVA-I44,"Share Files, Photos, Contacts, and Location in Chat","Asa user, I want to send documents, photos, a contact card, or my location tosomeone I'm chatting with, so that I can share more than just text when aconversation calls for it such as sending an ID document, sharing a photo, or sending directions tomeet someone.Acceptance Criteria● A user can attach and send a document (e.g. aPDF) in a conversation, and the recipient can open or download it● A user can attach and send one or more photos,viewable directly in the conversation● A user can share a contact from their phone asa card the recipient can view (and save to their own contacts)● A user can share their current location, or achosen location, as a shareable map location● All shared content appears in the conversationhistory with the correct sender and timestamp, the same as a text message would",09/Jul/2026 09:01 PM,0701,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,09/Jul/2026 09:01 PM,14/Jul/2026 09:49 AM,,
BVA-I59,File & Media Upload/Storage Endpoints,"Build the upload and storage endpoints andmessage types needed to support sending documents, photos, contact cards, andlocation within a conversation, and ensure they're retrievable as part of theconversation history.",14/Jul/2026 09:34 AM,0701,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I44,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:34 AM,20/Jul/2026 05:40 PM,,
BVA-I60,Attachment Picker & Media Display,"Build the attachment picker for documents,photos, contacts, and location, and the inline display of each shared file within the chat thread.",14/Jul/2026 09:35 AM,0701,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I44,Start,06/Jul/2026,18/Jul/2026,,14/Jul/2026 09:35 AM,20/Jul/2026 05:40 PM,,
BVA-I65,Empty State for New Users (Home Screen),"Asa new user with no conversations yet, I want to see a clear starting pointinstead of a blank screen, so that I know what to do to start chatting.This is the first screen a brand new user lands on right after finishingonboarding. Implement the empty state UI on the Homescreen, shown only when the user has zero conversations, and automaticallyreplaced by the normal conversation list once they have at least one.Acceptance Criteria● A user with zero conversations sees adedicated empty state instead of a blank conversation list● The empty state clearly points the user towardstarting their first conversation As soon as the user has at least oneconversation, this empty state is automatically replaced by the normalconversation list",15/Jul/2026 10:26 AM,0701,Fortune Okwu,,,David Samuel,REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,15/Jul/2026 10:26 AM,20/Jul/2026 05:40 PM,,
BVA-I66,Empty State for New Users (Home Screen),"Design the empty state for theHome/conversation-list screen, shown only to users with zero conversations.Should include messaging and/or illustration that points the user towardstarting their first chat, and should connect visually to the contact discoveryflow​",15/Jul/2026 10:30 AM,0701,Fortune Okwu,,17/Jul/2026 04:57 PM,Philip Chidera,Done,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,06/Jul/2026,18/Jul/2026,,15/Jul/2026 10:30 AM,17/Jul/2026 04:57 PM,,
